type,id,compartment,stoichiometry,name,s
AA,cpd00023,c,0.130,Glutamate,protein
AA,cpd00033,c,0.150,Glycine,protein
AA,cpd00035,c,0.161,Alanine,protein
AA,cpd00039,c,0.096,Lysine,protein
AA,cpd00041,c,0.098,Aspartate,protein
AA,cpd00051,c,0.110,Arginine,protein
AA,cpd00053,c,0.071,Glutamine,protein
AA,cpd00054,c,0.100,Serine,protein
AA,cpd00060,c,0.049,Methionine,protein
AA,cpd00135,c,0.049,Homocysteine,
AA,cpd00065,c,0.024,Tryptophan,protein
AA,cpd00066,c,0.074,Phenylalanine,protein
AA,cpd00069,c,0.049,Tyrosine,protein
AA,cpd00084,c,0.029,Cysteine,protein
AA,cpd00107,c,0.172,Leucine,protein
AA,cpd00119,c,0.038,Histidine,protein
AA,cpd00129,c,0.096,Proline,protein
AA,cpd00156,c,0.127,Valine,protein
AA,cpd00161,c,0.096,Threonine,protein
AA,cpd00322,c,0.083,Isoleucine,protein
AA,cpd00098,c,0.0001,Choline,Other
NA,cpd00002,c,0.027,ATP,rna
NA,cpd00052,c,0.026,CTP,rna
NA,cpd00038,c,0.026,GTP,rna
NA,cpd00062,c,0.027,UTP,rna
NA,cpd00115,c,0.030,dATP,dna
NA,cpd00356,c,0.026,dCTP,dna
NA,cpd00241,c,0.026,dGTP,dna
NA,cpd00358,c,0.030,dUTP,dna
NA,cpd00282,c,0.109,Dihydroorotate,
NA,cpd02851,c,0.109,AICAR,
NA,cpd00012,c,-0.218,PPi,rna
FA,cpd00214,c,0.329,Palmitate,lipid
FA,cpd00536,c,0.015,Oleate,lipid
FA,cpd01080,c,0.011,Stearate,lipid
NA,cpd00103,c,0.011,PRPP,NA
